category,question,reference_answer,support_context_segment,Support_context_segment:
music&art,"Where can you see over 4,000 works by Andy Warhol in Pittsburgh?",Andy Warhol Museum,"Andy Warhol Museum, located in North Shore, houses over 4,000 Warhol art works in all media including paintings, drawings, prints, photographs, sculptures, installations, and films.",
music&art,What is the Senator John Heinz History Center known for?,"It is Pennsylvania’s largest history museum and a proud affiliate of the Smithsonian Institution, devoted to the history and heritage of Western Pennsylvania.","The Senator John Heinz History Center is Pennsylvania’s largest history museum and a proud affiliate of the Smithsonian Institution. Devoted to the history and heritage of Western Pennsylvania, our family of museums includes the Heinz History Center, Western Pennsylvania Sports Museum, Fort Pitt Museum, and Meadowcroft Rockshelter and Historic Village.",
sport,What is the seating capacity of PNC Park in Pittsburgh?,"38,362","Capacity: 38,362",
sport,What is PNC Park known for?,"Skyline views, fireworks nights, the Pittsburgh Pierogi Race, fantastic local food and brews","Known For: Skyline views, fireworks nights, the Pittsburgh Pierogi Race, fantastic local food and brews",
sport,Which college did Rod Woodson attend?,Purdue,College | Purdue,
sport,In what year was Rod Woodson inducted into the Pro Football Hall of Fame?,2009,Rod Woodson was voted into the Pro Football Hall of Fame as a member of the Class of 2009.,
sport,Which team did the Steelers defeat in their first Super Bowl win?,Minnesota Vikings,"Steelers 16, Minnesota Vikings 6 Tulane Stadium New Orleans, Louisiana January 12, 1975; Attendance: 80,997",
sport,What is the purpose of the Nike Next Ones program?,Honors the best high school football players from around the country with an invitation to compete in a skills challenge and experience behind-the-scenes action.,The Nike Next Ones program honors the best high school football players from around the country with an invitation to compete in a skills challenge and experience behind-the-scenes action.,
sport,Which Pittsburgh Penguins player had the most goals in the 22-23 season?,Jake Guentzel (36),22-23 | Jake Guentzel (36) | Sidney Crosby (60) | Sidney Crosby (93),
sport, Who performed the anthem at the 2025 Black Hockey History Day Game?,Anita Levels,"2025 Black Hockey History Day Game Anthem Performer Anita Levels

Anita is a vocal artist, voice influencer, songwriter and producer who began singing at the age of 3 years old in Frankfurt, West Germany.",
sport,Where is PPG Paints Arena located?,"PPG Paints Arena is located at 1001 Fifth Ave., Pittsburgh, Pennsylvania 15219.",,
sport,What is the purpose of the Willie O'Ree Academy announced by the Pittsburgh Penguins?,"To provide unique training, social and mentorship opportunities for Black youth hockey players in the Pittsburgh region.",,"The Pittsburgh Penguins today announced the creation of the 'Willie O'Ree Academy,' designed to provide unique training, social and mentorship opportunities for Black youth hockey players in the Pittsburgh region."
sport,What feature of PNC Park honors Roberto Clemente?,"The outfield wall rises up to 21 feet behind right field in honor of the Pirates legendary right fielder #21, Roberto Clemente.","The outfield wall rises up to 21 feet behind right field (in honor of the Pirates legendary right fielder #21, Roberto Clemente) and drops down to just six feet in front of the left field bleachers.",
sport,Who is the manager of the Pittsburgh Pirates?,Don Kelly,| Don Kelly 12 Manager | Manager,
sport,Who serves as the pitching coach for the Pittsburgh Pirates?,Oscar Marin,| Oscar Marin 47 Pitching Coach | Pitching Coach,
sport,Who won the Pittsburgh Steelers team MVP award in 2024?,T.J. Watt,2024 | T.J. Watt | LB,
sport,Which position did Antonio Brown play when he won the Steelers team MVP award?,WR,2011 | Antonio Brown | WR,
sport,What does a Pittsburgh Steelers High School Coach of the Week receive?,"A framed certificate signed by NFL Commissioner Roger Goodell and Head Coach Mike Tomlin; a Steelers Coach of the Week cap; and a $1,000 donation to their football program.","The Coach of the Week winners are invited to be honored at a Steelers home game and receive a framed certificate signed by NFL Commissioner Roger Goodell and Head Coach Mike Tomlin; a Steelers Coach of the Week cap; and a $1,000 donation to their football program.",
sport,Which Steelers players from the 2025 Hall of Honor class were part of Super Bowl seasons?,"Maurkice Pouncey, Joey Porter, and Ben Roethlisberger","The 2025 Class includes three individuals who were part of Super Bowl seasons for the Steelers - center Maurkice Pouncey, linebacker Joey Porter, and quarterback Ben Roethlisberger.",
sport,Where is the Pittsburgh Steelers Hall of Honor Dinner held?,Acrisure Stadium,"Our annual Hall of Honor Dinner, presented by U.S. Steel, will celebrate the induction of this year's Hall of Honor class during a special ceremony at Acrisure Stadium.",
sport,Which divisions make up the Eastern Conference in the NHL according to the list?,Metropolitan and Atlantic,"Eastern Conference
Metropolitan
...Atlantic
Boston Bruins logo
Boston Bruins
north_east
Roster
Schedule
Tickets",
sport,Which NHL team from Pittsburgh is listed in the Metropolitan Division?,Pittsburgh Penguins,"Pittsburgh Penguins logo
Pittsburgh Penguins
north_east
Roster
Schedule
Tickets",
sport,Which Pittsburgh university has the only Division I men's lacrosse team between Columbus and State College?,Robert Morris University,"RMU is home to 23 intercollegiate athletic teams at the highest level of collegiate athletics, NCAA Division 1. Teams include the only men's and women's Division I ice hockey squads in the Pittsburgh region and the only Division I men's lacrosse team between Columbus and State College.",
sport,Which Pittsburgh-based team is recognized as a top women's full-contact football franchise?,Pittsburgh Passion,The Pittsburgh Passion Women's Football is the most recognized women's full-contact football franchise in the world. Winner of a National Championship and four Divisional Championships.,
sport,Where do the Pittsburgh Riverhounds play their home games?,Highmark Stadium next to Station Square,"Since 1999, the Riverhounds have been Pittsburgh’s pro soccer team. Nicknamed the Hounds, they play their games at Highmark Stadium next to Station Square.",
sport,"Which organization received the rights to the Terrible Towel in 1996, and how has it benefited them?","The Allegheny Valley School in Coraopolis received the rights, and proceeds from the Terrible Towel have helped raise almost $1.1 million for the school.","In 1996 Mr. Cope gave the rights to 'Myron Cope's Official Terrible Towel' to the Allegheny Valley School in the Pittsburgh suburb of Coraopolis. The school provides care for more than 900 children, adults and senior citizens with mental retardation and physical disabilities. Proceeds from the Terrible Towel have helped raise almost $1.1 million for the school.",
sport,Who created the Terrible Towel and why was it first introduced?,"The Terrible Towel was created by Myron Cope, the Pittsburgh Steelers broadcaster, to excite the team's fans during a 1975 playoff football game against the Baltimore Colts.","The Terrible Towel was created by the late Myron Cope, the Pittsburgh Steelers broadcaster who needed a way to excite the team's fans during a 1975 playoff football game against the Baltimore Colts.",
sport,Where is The Patio located at PNC Park?,Between the Upper and Lower Bleacher seating areas in left field.,"Located between the Upper and Lower Bleacher seating areas in left field, The Patio is a newly widened and leveled area that extends from the bullpens to the Left Field Rotunda.",
sport,Which Pittsburgh sports team has won six Super Bowl titles?,Pittsburgh Steelers,Pittsburgh is officially 'Sixburgh' as the Steelers became the first team in NFL history to win six Super Bowl titles!,
sport,Where do the Pittsburgh Pirates play their home games?,PNC Park,"You can always count on the Pittsburgh Pirates for an exciting summer of baseball! Raise the Jolly Roger at PNC Park, hailed as one of the best ballparks in the country.",
sport,What is the name of the Pittsburgh Steelers' mascot?,Steely McBeam,,
sport,Where was the screening of 'Beyond Their Years' held?,"Carnegie of Homestead Music Hall in Munhall, PA",,"Fans were able to join the Pittsburgh Penguins Foundation, the Carnegie Initiative, and Pittsburgh Hardball Academy for a screening of 'Beyond Their Years: The Incredible Legacies of Herb Carnegie and Buck O'Neilâ at Carnegie of Homestead Music Hall in Munhall, PA."
